tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,cust58,True,Wed Feb 22 19:51:22 +0000 2023,"@GadgetCoSupport I can't log into my account, keeps saying wrong password",2,
2,GadgetCoSupport,False,Tue Feb 14 21:29:57 +0000 2023,For account security we can't help over Twitter — please DM us or contact support@gadgetco.example directly so we can verify your identity. ^AK,,1
3,cust130,True,Sun Oct 15 07:14:22 +0000 2023,"@GadgetCoSupport the thing I bought stopped working after like 2 days, order #198246",4,
4,GadgetCoSupport,False,Sat Oct 07 15:16:27 +0000 2023,So sorry to hear that! Please DM us photos of the issue and your order number so we can send a replacement. ^AK,,3
5,cust179,True,Sat Jun 24 10:07:01 +0000 2023,"package for order #948749 arrived completely smashed, box was crushed",6,
6,GadgetCoSupport,False,Tue Mar 21 07:50:21 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,5
7,cust25,True,Mon Jun 26 21:58:51 +0000 2023,"shoutout to @GadgetCoSupport support team, really appreciated the help today",8,
8,GadgetCoSupport,False,Tue May 16 01:34:55 +0000 2023,So glad we could help! Thanks for being a customer 🙌 ^JM,,7
9,cust76,True,Mon Oct 23 07:00:03 +0000 2023,"@GadgetCoSupport I was charged twice for order #496922, please fix this",10,
10,GadgetCoSupport,False,Sun Feb 05 01:40:06 +0000 2023,We take billing issues seriously. Please DM your order number and we'll have our billing team review this right away. ^JM,,9
11,cust98,True,Mon Aug 21 23:08:40 +0000 2023,"@GadgetCoSupport locked out of my account after too many tries, need help asap",12,
12,GadgetCoSupport,False,Thu Jul 06 05:55:19 +0000 2023,For account security we can't help over Twitter — please DM us or contact support@gadgetco.example directly so we can verify your identity. ^AK,,11
13,cust156,True,Sun Oct 01 08:54:47 +0000 2023,"still waiting on my refund for order #802729, it's been 10 days",14,
14,GadgetCoSupport,False,Sat Mar 25 16:49:49 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,13
15,cust59,True,Sun Jun 11 14:36:21 +0000 2023,"still waiting on my refund for order #817870, it's been 12 days",16,
16,GadgetCoSupport,False,Thu May 18 02:24:35 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,15
17,cust165,True,Wed Mar 15 09:38:38 +0000 2023,"package for order #322955 arrived completely smashed, box was crushed",18,
18,GadgetCoSupport,False,Mon Mar 13 08:58:45 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,17
19,cust150,True,Wed Jul 05 07:59:06 +0000 2023,@GadgetCoSupport billed me for something I never ordered,20,
20,GadgetCoSupport,False,Sun Mar 12 18:33:04 +0000 2023,We take billing issues seriously. Please DM your order number and we'll have our billing team review this right away. ^JM,,19
21,cust175,True,Thu Feb 02 14:00:32 +0000 2023,"@GadgetCoSupport the thing I bought stopped working after like 2 days, order #214975",22,
22,GadgetCoSupport,False,Sat Jul 15 21:41:44 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,21
23,cust175,True,Sat Jun 24 04:03:41 +0000 2023,"shoutout to @GadgetCoSupport support team, really appreciated the help today",24,
24,GadgetCoSupport,False,Wed May 31 15:49:45 +0000 2023,So glad we could help! Thanks for being a customer 🙌 ^JM,,23
25,cust196,True,Sun Sep 17 03:52:27 +0000 2023,"Hey @GadgetCoSupport my order #857168 still hasn't arrived, it's been 10 days now",26,
26,GadgetCoSupport,False,Fri Jun 02 23:15:48 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,25
27,cust139,True,Thu Jun 15 17:47:22 +0000 2023,"got the wrong item entirely, ordered X got Y. order #260263",28,
28,GadgetCoSupport,False,Tue Jan 10 04:04:22 +0000 2023,So sorry to hear that! Please DM us photos of the issue and your order number so we can send a replacement. ^AK,,27
29,cust146,True,Mon Feb 13 17:41:39 +0000 2023,"shoutout to @GadgetCoSupport support team, really appreciated the help today",30,
30,GadgetCoSupport,False,Sun Feb 05 19:23:42 +0000 2023,This made our day! Thank you for the kind words 💙 ^AK,,29
31,cust43,True,Thu Sep 28 22:05:07 +0000 2023,what are your store hours on weekends @GadgetCoSupport,32,
32,GadgetCoSupport,False,Sat Aug 05 07:42:40 +0000 2023,We're open 9am-9pm every day including weekends! ^JM,,31
33,cust172,True,Sun Aug 13 18:50:39 +0000 2023,"@GadgetCoSupport love the new product, best purchase this year",34,
34,GadgetCoSupport,False,Sun Aug 20 04:24:20 +0000 2023,So glad we could help! Thanks for being a customer 🙌 ^JM,,33
35,cust142,True,Sun Apr 23 00:15:42 +0000 2023,"Hey @GadgetCoSupport my order #454508 still hasn't arrived, it's been 2 days now",36,
36,GadgetCoSupport,False,Mon Feb 06 22:58:39 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,35
37,cust132,True,Tue May 23 17:40:24 +0000 2023,"Hey @GadgetCoSupport my order #132938 still hasn't arrived, it's been 12 days now",38,
38,GadgetCoSupport,False,Thu Apr 20 19:37:58 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,37
39,cust49,True,Sun Feb 19 23:59:34 +0000 2023,"@GadgetCoSupport where is my order?? placed it 17 days ago, nothing",40,
40,GadgetCoSupport,False,Wed Aug 09 12:53:58 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,39
41,cust16,True,Fri Jun 23 03:58:42 +0000 2023,"screen is cracked and I haven't even dropped it, order #864491",42,
42,GadgetCoSupport,False,Mon May 08 06:58:32 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,41
43,cust72,True,Mon May 08 02:44:40 +0000 2023,"@GadgetCoSupport where is my order?? placed it 15 days ago, nothing",44,
44,GadgetCoSupport,False,Tue Aug 15 20:02:12 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,43
45,cust105,True,Mon Sep 04 07:46:56 +0000 2023,"Hey @GadgetCoSupport my order #197793 still hasn't arrived, it's been 9 days now",46,
46,GadgetCoSupport,False,Tue Jul 25 02:08:05 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,45
47,cust74,True,Thu Oct 12 17:43:08 +0000 2023,"Hey @GadgetCoSupport my order #509386 still hasn't arrived, it's been 10 days now",48,
48,GadgetCoSupport,False,Tue Mar 21 06:54:50 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,47
49,cust192,True,Mon Jan 30 01:49:32 +0000 2023,"@GadgetCoSupport I want to return order #707314, how do I start that",50,
50,GadgetCoSupport,False,Fri Oct 27 17:21:33 +0000 2023,Sorry for the delay on your refund! DM us your order # and we'll check the status right away. ^JM,,49
51,cust48,True,Sat Feb 04 08:33:48 +0000 2023,"got the wrong item entirely, ordered X got Y. order #159642",52,
52,GadgetCoSupport,False,Wed Jul 26 04:21:53 +0000 2023,So sorry to hear that! Please DM us photos of the issue and your order number so we can send a replacement. ^AK,,51
53,cust159,True,Thu Aug 03 23:56:03 +0000 2023,"@GadgetCoSupport love the new product, best purchase this year",54,
54,GadgetCoSupport,False,Thu Oct 26 20:34:45 +0000 2023,This made our day! Thank you for the kind words 💙 ^AK,,53
55,cust68,True,Thu Mar 09 23:30:07 +0000 2023,"@GadgetCoSupport this is defective right out of the box, order #314181",56,
56,GadgetCoSupport,False,Sat Jun 03 16:38:49 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,55
57,cust26,True,Tue Oct 03 07:45:38 +0000 2023,"@GadgetCoSupport I want to return order #109767, how do I start that",58,
58,GadgetCoSupport,False,Sun Sep 17 09:39:20 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,57
59,cust73,True,Sun Aug 13 19:46:40 +0000 2023,"package for order #172132 arrived completely smashed, box was crushed",60,
60,GadgetCoSupport,False,Sun Jun 04 22:16:13 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,59
61,cust170,True,Fri Mar 10 09:37:44 +0000 2023,"just wanted to say thanks @GadgetCoSupport, support fixed my issue super fast!",62,
62,GadgetCoSupport,False,Wed Mar 01 03:53:49 +0000 2023,This made our day! Thank you for the kind words 💙 ^AK,,61
63,cust184,True,Sat Apr 15 23:05:30 +0000 2023,there's a charge on my card I don't recognize from you guys,64,
64,GadgetCoSupport,False,Tue May 16 18:24:04 +0000 2023,We take billing issues seriously. Please DM your order number and we'll have our billing team review this right away. ^JM,,63
65,cust12,True,Tue Jun 20 04:45:46 +0000 2023,"@GadgetCoSupport the thing I bought stopped working after like 2 days, order #196781",66,
66,GadgetCoSupport,False,Mon May 15 05:52:58 +0000 2023,So sorry to hear that! Please DM us photos of the issue and your order number so we can send a replacement. ^AK,,65
67,cust20,True,Sat Oct 07 01:18:42 +0000 2023,why was I charged $19 more than the listed price on #688153,68,
68,GadgetCoSupport,False,Sun Jul 09 21:12:30 +0000 2023,We take billing issues seriously. Please DM your order number and we'll have our billing team review this right away. ^JM,,67
69,cust94,True,Mon Jul 03 07:38:55 +0000 2023,"screen is cracked and I haven't even dropped it, order #233636",70,
70,GadgetCoSupport,False,Mon May 08 03:44:33 +0000 2023,So sorry to hear that! Please DM us photos of the issue and your order number so we can send a replacement. ^AK,,69
71,cust42,True,Mon Jul 31 00:54:08 +0000 2023,requested a refund last week for #750810 and heard nothing back,72,
72,GadgetCoSupport,False,Sun Apr 02 12:05:40 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,71
73,cust41,True,Sat Jul 15 01:24:35 +0000 2023,is there a student discount available,74,
74,GadgetCoSupport,False,Tue Aug 29 08:05:54 +0000 2023,"Great question! Yes, we ship to Canada, delivery usually takes 5-7 business days. Let us know if you need anything else! ^AK",,73
75,cust58,True,Sun Apr 09 14:30:27 +0000 2023,"@GadgetCoSupport where is my order?? placed it 11 days ago, nothing",76,
76,GadgetCoSupport,False,Sun Jun 18 10:08:37 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,75
77,cust174,True,Sun Jan 15 04:11:58 +0000 2023,@GadgetCoSupport does the warranty cover water damage?,78,
78,GadgetCoSupport,False,Sun May 14 06:30:05 +0000 2023,We're open 9am-9pm every day including weekends! ^JM,,77
79,cust89,True,Sat Aug 12 22:04:17 +0000 2023,"@GadgetCoSupport this is defective right out of the box, order #140115",80,
80,GadgetCoSupport,False,Tue Sep 19 04:12:37 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,79
81,cust1,True,Thu Jul 06 15:42:11 +0000 2023,"still waiting on my refund for order #367095, it's been 3 days",82,
82,GadgetCoSupport,False,Sun Feb 05 12:01:19 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,81
83,cust80,True,Sat Jun 17 14:39:03 +0000 2023,"@GadgetCoSupport I can't log into my account, keeps saying wrong password",84,
84,GadgetCoSupport,False,Thu Jun 01 20:11:07 +0000 2023,For account security we can't help over Twitter — please DM us or contact support@gadgetco.example directly so we can verify your identity. ^AK,,83
85,cust158,True,Thu Jul 27 19:56:59 +0000 2023,"@GadgetCoSupport where is my order?? placed it 14 days ago, nothing",86,
86,GadgetCoSupport,False,Sun Jan 01 11:03:49 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,85
87,cust120,True,Tue Aug 15 07:46:50 +0000 2023,requested a refund last week for #923927 and heard nothing back,88,
88,GadgetCoSupport,False,Tue Sep 19 17:13:41 +0000 2023,Sorry for the delay on your refund! DM us your order # and we'll check the status right away. ^JM,,87
89,cust132,True,Fri Feb 17 08:33:04 +0000 2023,what are your store hours on weekends @GadgetCoSupport,90,
90,GadgetCoSupport,False,Thu Jun 08 08:10:44 +0000 2023,We're open 9am-9pm every day including weekends! ^JM,,89
91,cust122,True,Tue Aug 22 15:05:21 +0000 2023,what are your store hours on weekends @GadgetCoSupport,92,
92,GadgetCoSupport,False,Sun Oct 22 07:04:45 +0000 2023,"Great question! Yes, we ship to Canada, delivery usually takes 5-7 business days. Let us know if you need anything else! ^AK",,91
93,cust38,True,Fri Feb 24 15:28:44 +0000 2023,why was I charged $36 more than the listed price on #618392,94,
94,GadgetCoSupport,False,Sun Apr 23 06:24:13 +0000 2023,We take billing issues seriously. Please DM your order number and we'll have our billing team review this right away. ^JM,,93
95,cust32,True,Fri Mar 10 16:55:01 +0000 2023,is there a student discount available,96,
96,GadgetCoSupport,False,Fri Sep 29 20:20:59 +0000 2023,We're open 9am-9pm every day including weekends! ^JM,,95
97,cust141,True,Thu Mar 23 17:16:56 +0000 2023,"two factor code never arrives, can't get into my account",98,
98,GadgetCoSupport,False,Sat Aug 19 09:26:12 +0000 2023,For account security we can't help over Twitter — please DM us or contact support@gadgetco.example directly so we can verify your identity. ^AK,,97
99,cust161,True,Sun May 21 16:00:54 +0000 2023,@GadgetCoSupport does the warranty cover water damage?,100,
100,GadgetCoSupport,False,Thu Feb 09 10:24:10 +0000 2023,"Great question! Yes, we ship to Canada, delivery usually takes 5-7 business days. Let us know if you need anything else! ^AK",,99
101,cust36,True,Sat Apr 29 13:56:45 +0000 2023,"package for order #435239 arrived completely smashed, box was crushed",102,
102,GadgetCoSupport,False,Mon Mar 20 07:47:23 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,101
103,cust107,True,Sun Apr 16 15:17:49 +0000 2023,"@GadgetCoSupport where is my order?? placed it 19 days ago, nothing",104,
104,GadgetCoSupport,False,Wed Jul 19 21:15:56 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,103
105,cust123,True,Fri Jun 30 10:52:19 +0000 2023,"just wanted to say thanks @GadgetCoSupport, support fixed my issue super fast!",106,
106,GadgetCoSupport,False,Wed Jul 19 15:15:21 +0000 2023,This made our day! Thank you for the kind words 💙 ^AK,,105
107,cust112,True,Sun Jan 15 14:09:28 +0000 2023,"got the wrong item entirely, ordered X got Y. order #611945",108,
108,GadgetCoSupport,False,Thu Jun 22 14:43:14 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,107
109,cust7,True,Mon Oct 16 00:59:12 +0000 2023,why was I charged $73 more than the listed price on #233827,110,
110,GadgetCoSupport,False,Sun Feb 12 23:24:06 +0000 2023,We take billing issues seriously. Please DM your order number and we'll have our billing team review this right away. ^JM,,109
111,cust98,True,Wed Apr 19 16:33:18 +0000 2023,"screen is cracked and I haven't even dropped it, order #290556",112,
112,GadgetCoSupport,False,Sat Jun 17 12:17:16 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,111
113,cust21,True,Tue Jan 10 19:38:22 +0000 2023,is there a student discount available,114,
114,GadgetCoSupport,False,Fri Jan 27 12:44:30 +0000 2023,We're open 9am-9pm every day including weekends! ^JM,,113
115,cust64,True,Wed Jan 11 22:37:19 +0000 2023,"Hey @GadgetCoSupport my order #919182 still hasn't arrived, it's been 3 days now",116,
116,GadgetCoSupport,False,Mon Mar 20 08:41:06 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,115
117,cust180,True,Sat Jul 08 06:06:32 +0000 2023,"Hey @GadgetCoSupport my order #691364 still hasn't arrived, it's been 8 days now",118,
118,GadgetCoSupport,False,Tue Feb 28 05:57:45 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,117
119,cust148,True,Sun Jul 23 07:13:15 +0000 2023,"just wanted to say thanks @GadgetCoSupport, support fixed my issue super fast!",120,
120,GadgetCoSupport,False,Wed Feb 08 21:33:27 +0000 2023,So glad we could help! Thanks for being a customer 🙌 ^JM,,119
121,cust145,True,Tue Jun 27 19:23:47 +0000 2023,there's a charge on my card I don't recognize from you guys,122,
122,GadgetCoSupport,False,Tue Aug 08 13:29:31 +0000 2023,We take billing issues seriously. Please DM your order number and we'll have our billing team review this right away. ^JM,,121
123,cust28,True,Wed Jul 05 23:08:27 +0000 2023,"package for order #113266 arrived completely smashed, box was crushed",124,
124,GadgetCoSupport,False,Thu Aug 24 05:34:12 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,123
125,cust120,True,Thu May 18 11:44:05 +0000 2023,"@GadgetCoSupport this is defective right out of the box, order #745830",126,
126,GadgetCoSupport,False,Sat May 06 03:09:19 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,125
127,cust157,True,Thu Jun 22 01:02:41 +0000 2023,requested a refund last week for #355709 and heard nothing back,128,
128,GadgetCoSupport,False,Mon Sep 11 11:50:00 +0000 2023,Sorry for the delay on your refund! DM us your order # and we'll check the status right away. ^JM,,127
129,cust72,True,Thu Oct 12 00:22:10 +0000 2023,@GadgetCoSupport tracking says delivered but I never got my package. Order #472060,130,
130,GadgetCoSupport,False,Fri Sep 22 06:57:22 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,129
131,cust177,True,Sat Sep 09 16:19:03 +0000 2023,"@GadgetCoSupport where is my order?? placed it 19 days ago, nothing",132,
132,GadgetCoSupport,False,Mon Jan 09 03:23:16 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,131
133,cust170,True,Thu Aug 31 20:09:04 +0000 2023,requested a refund last week for #825391 and heard nothing back,134,
134,GadgetCoSupport,False,Fri Sep 29 12:30:56 +0000 2023,Sorry for the delay on your refund! DM us your order # and we'll check the status right away. ^JM,,133
135,cust79,True,Sat Apr 29 04:23:34 +0000 2023,"@GadgetCoSupport this is defective right out of the box, order #468900",136,
136,GadgetCoSupport,False,Sun Apr 09 11:29:19 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,135
137,cust71,True,Tue Feb 21 07:04:03 +0000 2023,@GadgetCoSupport tracking says delivered but I never got my package. Order #300845,138,
138,GadgetCoSupport,False,Thu Jun 01 08:16:56 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,137
139,cust71,True,Sat Jan 28 20:08:49 +0000 2023,@GadgetCoSupport can I exchange this for a different size? order #114835,140,
140,GadgetCoSupport,False,Tue May 30 04:35:51 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,139
141,cust73,True,Sun Sep 03 16:02:13 +0000 2023,"two factor code never arrives, can't get into my account",142,
142,GadgetCoSupport,False,Sat Jun 24 06:42:44 +0000 2023,For account security we can't help over Twitter — please DM us or contact support@gadgetco.example directly so we can verify your identity. ^AK,,141
143,cust103,True,Tue Feb 07 21:00:31 +0000 2023,"shoutout to @GadgetCoSupport support team, really appreciated the help today",144,
144,GadgetCoSupport,False,Sat Jan 28 05:31:27 +0000 2023,So glad we could help! Thanks for being a customer 🙌 ^JM,,143
145,cust143,True,Wed Apr 26 19:01:34 +0000 2023,"package for order #189318 arrived completely smashed, box was crushed",146,
146,GadgetCoSupport,False,Fri Jul 14 16:24:09 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,145
147,cust146,True,Mon Feb 20 07:33:55 +0000 2023,@GadgetCoSupport does the warranty cover water damage?,148,
148,GadgetCoSupport,False,Wed Apr 19 09:38:07 +0000 2023,"Great question! Yes, we ship to Canada, delivery usually takes 5-7 business days. Let us know if you need anything else! ^AK",,147
149,cust20,True,Mon Jan 02 14:52:25 +0000 2023,"I think someone got into my account, can you help @GadgetCoSupport",150,
150,GadgetCoSupport,False,Sat Aug 19 21:37:12 +0000 2023,For account security we can't help over Twitter — please DM us or contact support@gadgetco.example directly so we can verify your identity. ^AK,,149
151,cust180,True,Mon Feb 06 08:29:55 +0000 2023,"@GadgetCoSupport the thing I bought stopped working after like 2 days, order #342720",152,
152,GadgetCoSupport,False,Tue May 16 22:45:27 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,151
153,cust58,True,Wed May 17 05:10:43 +0000 2023,"I think someone got into my account, can you help @GadgetCoSupport",154,
154,GadgetCoSupport,False,Mon Feb 06 02:10:16 +0000 2023,For account security we can't help over Twitter — please DM us or contact support@gadgetco.example directly so we can verify your identity. ^AK,,153
155,cust113,True,Mon Aug 28 11:04:17 +0000 2023,"package for order #723948 arrived completely smashed, box was crushed",156,
156,GadgetCoSupport,False,Wed Jul 26 09:54:43 +0000 2023,"Hi there, sorry for the trouble! Please DM us your order number and zip code so we can look into the tracking. ^AK",,155
157,cust111,True,Tue May 09 00:56:30 +0000 2023,"screen is cracked and I haven't even dropped it, order #559023",158,
158,GadgetCoSupport,False,Thu Feb 16 08:20:05 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,157
159,cust11,True,Tue Aug 29 18:53:41 +0000 2023,"just wanted to say thanks @GadgetCoSupport, support fixed my issue super fast!",160,
160,GadgetCoSupport,False,Tue Aug 15 10:07:38 +0000 2023,This made our day! Thank you for the kind words 💙 ^AK,,159
161,cust121,True,Sat Jul 29 12:08:07 +0000 2023,"@GadgetCoSupport where is my order?? placed it 17 days ago, nothing",162,
162,GadgetCoSupport,False,Wed Jun 14 03:48:30 +0000 2023,That's not the experience we want for you. Could you send us a DM with your order # so we can escalate to our shipping team? ^JM,,161
163,cust170,True,Mon Oct 09 01:20:09 +0000 2023,@GadgetCoSupport does the warranty cover water damage?,164,
164,GadgetCoSupport,False,Mon Aug 21 03:12:22 +0000 2023,We're open 9am-9pm every day including weekends! ^JM,,163
165,cust1,True,Mon Jul 31 01:58:24 +0000 2023,@GadgetCoSupport can I exchange this for a different size? order #221552,166,
166,GadgetCoSupport,False,Fri Apr 07 18:52:32 +0000 2023,Sorry for the delay on your refund! DM us your order # and we'll check the status right away. ^JM,,165
167,cust53,True,Mon Oct 09 04:46:12 +0000 2023,requested a refund last week for #755788 and heard nothing back,168,
168,GadgetCoSupport,False,Sun May 28 15:57:04 +0000 2023,Sorry for the delay on your refund! DM us your order # and we'll check the status right away. ^JM,,167
169,cust182,True,Fri Jun 09 20:03:19 +0000 2023,is there a student discount available,170,
170,GadgetCoSupport,False,Sun Jan 08 20:06:24 +0000 2023,"Great question! Yes, we ship to Canada, delivery usually takes 5-7 business days. Let us know if you need anything else! ^AK",,169
171,cust31,True,Wed Sep 13 10:37:34 +0000 2023,"still waiting on my refund for order #982277, it's been 5 days",172,
172,GadgetCoSupport,False,Mon Sep 18 09:57:18 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,171
173,cust142,True,Sun Jul 16 06:56:23 +0000 2023,requested a refund last week for #595158 and heard nothing back,174,
174,GadgetCoSupport,False,Mon Sep 18 04:58:12 +0000 2023,We can definitely help with that. Please DM your order number and we'll get the return process started. ^AK,,173
175,cust130,True,Mon Jan 02 10:17:52 +0000 2023,@GadgetCoSupport does the warranty cover water damage?,176,
176,GadgetCoSupport,False,Fri Jun 02 21:22:11 +0000 2023,We're open 9am-9pm every day including weekends! ^JM,,175
177,cust124,True,Tue Jun 20 20:05:40 +0000 2023,"screen is cracked and I haven't even dropped it, order #255813",178,
178,GadgetCoSupport,False,Fri Oct 06 13:44:01 +0000 2023,That shouldn't happen — DM us your order number and we'll get this sorted with a replacement or refund. ^JM,,177
